bbnumber,customercategory,clientsegment,segmenttype,economicactivity,customerstatus,partition_date,td_hc_ob_amt_avg_12m,td_local_ccy_active_tag,hc_active_tag,depo_trb_avg_3m,time_deposit_us_dollar_others,savings_account_usd_us_dollar_others,total_cr_txn_amt_avg_3m,otc_offus_check_depo_txn_amt_avg_9m,gross_monthly_income,td_foreign_ccy_active_tag,casa_active_tag,savings_account_php_philippine_peso_others,otc_onus_check_depo_txn_amt_sum_3m,otc_onus_check_depo_txn_amt_sum_9m,digibanker_cr_txn_amt_sum_3m,otc_fund_transfer_txn_amt_sum_6m,mob_depo_max,inclearing_check_dr_txn_amt_sum_9m,total_cr_txn_amt_avg_pct_chg_6m,digibanker_cr_txn_cnt_sum_12m,total_dr_txn_amt_avg_pct_chg_12m,total_dr_txn_amt_avg_pct_chg_9m,mtd_adb_casa_amt_pct_chg_3m,total_cr_txn_amt_max_pct_chg_12m,total_cr_txn_amt_max_pct_chg_6m,trb_amt_avg_pct_chg_12m,mtd_adb_casa_amt_pct_chg_6m,trb_amt_max_pct_chg_6m,trb_amt_max_pct_chg_3m,otc_offus_check_depo_txn_cnt_max_pct_chg_6m,mtd_adb_casa_amt_pct_chg_9m,mtd_adb_casa_max_pct_chg_3m,total_dr_txn_amt_avg_pct_chg_6m,otc_offus_check_depo_txn_cnt_max_pct_chg_12m,trb_amt_avg_pct_chg_9m,mtd_adb_casa_avg_pct_chg_12m,trb_amt_max_pct_chg_12m,total_cr_txn_cnt_max_pct_chg_9m,checking_account_philippine_peso_business_plus_account,mtd_adb_casa_avg_pct_chg_6m,total_cr_txn_cnt_min_pct_chg_3m,trb_amt_avg_pct_chg_6m,mtd_adb_casa_max_pct_chg_6m,time_deposit_chinese_yuan_others,total_cr_txn_amt_min_pct_chg_6m,mtd_adb_casa_amt_pct_chg_12m,total_dr_txn_cnt_avg_pct_chg_12m,mtd_adb_casa_avg_pct_chg_9m,inclearing_check_dr_txn_amt_max_pct_chg_9m,atm_cash_withdrawal_txn_cnt_avg_12m,credit_card_active_tag,otc_check_encash_txn_cnt_sum_3m,non_casa_td_active_tag,total_cr_txn_amt_max_pct_chg_3m,mtd_adb_pct_chg_casa_1m,trb_amt_min_pct_chg_3m,checking_account_philippine_peso_others,inclearing_check_dr_txn_cnt_max_pct_chg_6m,total_cr_txn_cnt_avg_pct_chg_6m,total_dr_txn_amt_max_pct_chg_3m,all_access_active_tag,mtd_adb_casa_min_pct_chg_3m,total_dr_txn_cnt_avg_pct_chg_9m,inclearing_check_dr_txn_amt_max_pct_chg_3m,total_cr_txn_amt_min_pct_chg_3m,otc_check_encash_txn_cnt_max_pct_chg_12m,total_dr_txn_amt_avg_pct_chg_3m,total_dr_txn_amt_max_pct_chg_6m,total_cr_txn_amt_avg_pct_chg_3m,total_dr_txn_amt_min_pct_chg_6m,otc_cash_depo_cr_txn_cnt_sum_3m,total_cr_txn_cnt_max_pct_chg_3m,otc_cash_depo_cr_txn_cnt_max_pct_chg_3m,internet_pos_txn_cnt_avg_12m,total_dr_txn_cnt_avg_pct_chg_6m,total_dr_txn_cnt_max_pct_chg_3m,inclearing_check_dr_txn_amt_min_pct_chg_3m,otc_cash_depo_cr_txn_cnt_max_pct_chg_6m,savings_account_usd_chinese_yuan_others,inclearing_check_dr_txn_cnt_max_pct_chg_3m,otc_check_encash_txn_amt_sum_12m,otc_cash_depo_cr_txn_cnt_max_pct_chg_9m,total_dr_txn_amt_pct_chg_12m,otc_cash_depo_cr_txn_amt_max_pct_chg_3m,total_dr_txn_amt_pct_chg_9m,savings_account_usd_pound_sterling_others,otc_bills_pmt_txn_amt_sum_12m,total_dr_txn_amt_pct_chg_6m,total_dr_txn_cnt_pct_chg_12m,total_cr_txn_amt_pct_chg_9m,savings_account_usd_korean_won_others,otc_cash_depo_cr_txn_amt_sum_9m,total_dr_txn_amt_pct_chg_3m,savings_account_usd_european_ccy_unit_others,total_cr_txn_amt_pct_chg_6m,otc_bills_pmt_txn_amt_sum_3m,total_dr_txn_cnt_pct_chg_9m,total_cr_txn_amt_pct_chg_12m,otc_cash_depo_cr_txn_amt_max_pct_chg_12m,ob_amt_al,otc_bills_pmt_txn_amt_sum_6m,joint_acct_active_tag,total_dr_txn_cnt_pct_chg_3m,total_cr_txn_cnt_avg_pct_chg_3m,trb_amt_min_pct_chg_6m,savings_account_usd_swiss_franc_others,total_dr_txn_cnt_avg_pct_chg_3m,total_dr_txn_cnt_pct_chg_6m,savings_account_usd_yen_others,al_truck_active_tag,savings_account_usd_australian_dollar_others,epcs_cr_txn_amt_sum_9m,sbol_fund_transfer_txn_cnt_avg_9m,sbol_bills_pmt_txn_amt_avg_12m,bel_active_tag,total_dr_txn_cnt_max_pct_chg_12m,mtd_adb_casa_min_pct_chg_6m,total_cr_txn_cnt_pct_chg_9m,otc_cash_withdrawal_txn_cnt_avg_12m,total_cr_txn_amt_pct_chg_3m,savings_account_usd_canadian_dollar_others,otc_cash_depo_cr_txn_cnt_min_pct_chg_3m,total_dr_txn_cnt_min_pct_chg_3m,sbol_bills_pmt_txn_amt_avg_3m,atm_cash_depo_txn_amt_avg_12m,ada_loan_active_tag,savings_account_usd_hong_kong_dollar_others,gold_count_primary_cc,banca_active_tag,cashback_count_primary_cc,total_cr_txn_cnt_pct_chg_12m,classic_count_primary_cc,atm_ibft_dr_txn_cnt_sum_12m,bml_active_tag,total_ob_amt_cc,atm_cash_depo_txn_amt_avg_3m,otc_cash_withdrawal_txn_cnt_avg_3m,total_cr_txn_cnt_pct_chg_6m,savings_account_usd_singapore_dollar_others,dollar_savings_chinese_yuan_others,atm_ibft_dr_txn_cnt_sum_3m,titanium_count_primary_cc,ess_active_tag,al_fleet_active_tag,cts_active_tag,total_cr_txn_cnt_pct_chg_3m,platinum_count_primary_cc,world_count_primary_cc,hl_active_tag,savings_account_usd_new_zealand_dollar_others,semp_tag,savings_account_usd_baht_others,savings_account_jpy_yen_others,special_bsa_philippine_peso_others,savings_account_eur_european_ccy_unit_others,cel_active_tag,salad_active_tag,click_count_primary_cc,ob_amt_cel,ob_amt_salad,gift_cash_cards_philippine_peso_others,time_deposit_european_ccy_unit_others,time_deposit_yen_others,Target
3178,NON-FINANCIAL CORPORATION,UNSPECIFIED,Corp Bank,Other Service Activities,UNSPECIFIED,2/28/2022,0,0,0,1869397.42,0,1,1.71E+07,0,384615.38,0,1,1,25518.07,25518.07,0,0,211,0,0.45,0,0.38,0.25,-0.57,3.3,2.1,0.91,3.74,10,0.02,0,2.49,-0.15,0.36,0,1.21,1.87,10,2.5,0,2.93,-0.67,2,15.62,0,-0.78,0.9,0,1.94,0,0,0,0,0,0.06,-0.15,0,1,0,0.35,0.07,0,-0.5,0.01,0,-0.78,0,-0.36,1.69,-0.36,-0.79,0,0.29,0,0,0.03,-0.29,0,0,0,0,0,0,-0.19,0,0.05,0,0,0.1,-0.25,0.13,0,0,-0.77,0,0.08,0,-0.17,-0.17,0,0,0,0,-0.5,-0.19,-0.06,0,-0.29,-0.06,0,0,0,0,0,0,0,0.44,-0.5,-0.5,0,-0.77,0,0,-0.3,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3387,NON-FINANCIAL CORPORATION,UNSPECIFIED,Retail/BBG Commercial,Human Health and Social Work Activities,UNSPECIFIED,2/28/2022,0,0,0,520400.07,0,1,130346.26,0,384615.38,0,1,0,350000,1450000,0,0,111,-300266,0,0,0.56,0.75,-0.28,166.37,0,-0.01,-0.39,0.05,-0.02,0,0.02,-0.01,1.34,0,0.01,0.02,0.07,0.5,0,-0.07,-1,0,0.3,0,-1,-0.11,0.32,0.05,8,0,0,2,0,-0.88,-0.01,-0.03,1,8,0,-0.06,0,-0.27,0.38,2,-1,3,-0.44,7.44,-0.94,-0.82,1,-0.67,-1,0,0.59,1.5,-0.5,-1,0,2,-2249300,-1,-0.85,-1,-0.86,0,0,0.38,-0.44,-1,0,91414,-0.83,0,-1,0,-0.38,-1,-1,0,0,0,0.25,-0.83,-0.03,0,0.5,0.67,0,0,0,0,0,0,0,2,-0.3,-1,0,-1,0,-1,-0.5,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5776,NON-FINANCIAL CORPORATION,UNSPECIFIED,Corp Bank,Information and Communication,Active,2/28/2022,0,0,0,937129.03,0,0,749666.67,0,1153846.23,0,1,0,0,0,0,0,3,0,0,0,0,0,140.99,42.98,42.98,0,0,22.67,22.67,0,0,33.51,0,0,0,0,22.67,-0.5,1,0,-1,0,33.51,0,-1,0,0,0,0,0,0,0,0,42.98,33.51,2.75,0,0,0,0,0,3.11,0,0,-1,0,0,0,20.99,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.75,2.75,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5015,NON-FINANCIAL CORPORATION,UNSPECIFIED,Corp Bank,Real Estate Activities,UNSPECIFIED,2/28/2022,7.52E+07,1,1,9.76E+07,0,1,7.37E+07,1390498.62,7692307.69,0,1,0,2.61E+07,8.50E+07,0,-1.54E+08,317,-3.98E+07,0.15,0,0.62,0.03,0.12,3.44,0.96,1.18,0.73,0.27,0.22,2,0.85,0.1,0.07,2,0.06,0.07,13.05,0.79,0,0.14,-0.03,0.11,0.67,0,-0.59,0.1,0.11,0.13,1.72,0,0,3,1,0.96,0.1,0.12,1,1.91,-0.06,1.09,0,0.01,0.08,1.72,0.25,3,0.66,1.09,0.61,-0.68,2,0.07,-1,0,0.12,1.07,-0.38,-1,0,1.91,-2.74E+07,-1,2.29,-1,-0.77,0,0,-0.39,0.67,-0.64,0,2.72E+07,1.56,0,0.02,0,0.05,2.76,17019.09,0,0,0,0.67,0.02,-0.15,0,0.44,0.18,0,0,0,0,0,0,0,1.07,-0.09,-0.42,0,1.45,0,-1,-0.19,0,0,0,0,0,0,0,-0.26,0,0,0,0,0,0,-0.28,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1603,NON-FINANCIAL CORPORATION,UNSPECIFIED,Retail/BBG Commercial,UNSPECIFIED,UNSPECIFIED,2/28/2022,0,0,0,884127.56,0,0,2239301.71,5836009.31,1153846.15,0,1,0,25000,75000,0,0,188,-4.30E+07,1.47,0,4.13,0.3,-0.47,42.91,7.32,0.17,0.08,0.05,-0.2,0.33,-0.94,-0.22,0.4,0.33,-0.06,0.61,1.81,0.7,0,0.39,-0.23,-0.18,3.02,0,-0.9,-0.4,0.04,0.02,33.58,0,0,1,0,0.01,-0.22,-0.37,1,0.6,-0.09,-0.5,0,-0.32,-0.04,-0.64,-0.9,0,-0.67,3.92,-0.45,-0.83,5,0,0,0,0.01,0.31,-0.83,0,0,0.33,-69000,0.5,-0.37,-0.85,-0.99,0,-99189.8,-0.79,-0.09,-0.99,0,6143989.24,-0.92,0,-0.46,-34658.85,-0.48,-0.34,28.39,0,-99189.8,0,-0.22,-0.12,-0.39,0,-0.05,-0.13,0,0,0,0,0,0,0,0.74,-0.47,-0.33,1.83,-0.9,0,-0.5,-0.41,0,0,0,0,0,0,0,-0.33,0,0,0,0,0,1,-0.41,0,0,0,0,0,0,0,-0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8098,NON-FINANCIAL CORPORATION,UNSPECIFIED,Banking Center,Construction,UNSPECIFIED,2/28/2022,0,0,0,8979558.1,0,1,6357.9,0,7.69E+07,0,1,0,0,0,0,0,30,-6.31E+07,0,0,11.78,15.75,-0.26,2.32,-0.46,-0.14,-0.66,-0.08,-0.19,0,-0.78,-0.06,23.6,0,-0.11,-0.15,0.01,0,1,-0.19,-1,-0.15,-0.06,0,-1,-0.85,0.41,-0.17,39.44,0,0,1,0,-1,-0.21,-0.21,0,1,0,119.82,0,-0.21,0.4,-1,-1,1,59.41,119.82,0,-1,4,-1,0,0,0.3,3,-1,-1,1,-1,-3935737.08,-1,-0.97,0,-0.89,0,0,-0.95,-0.71,-1,0,106659.4,-0.76,0,-1,0,-0.8,-1,4.92,0,0,0,-0.43,0,-0.21,0,1.07,-0.78,0,0,0,0,0,0,0,3,-0.3,0,0,10.42,0,0,-0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9874,NON-FINANCIAL CORPORATION,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,2/28/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4037,NON-FINANCIAL CORPORATION,UNSPECIFIED,Retail/BBG Commercial,Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles,UNSPECIFIED,4/29/2022,0,0,0,4240098.48,0,1,1064689.78,600126.92,3076923.08,0,1,0,75808,246744.7,29770.2,0,308,-1.11E+07,0.37,21,4.63,2.96,-0.18,2.7,2.47,-0.04,0.41,0.05,0.05,1.42,-0.21,0.02,1.25,1.42,-0.01,0.02,0.05,0.96,2,0.08,-0.13,0,0.24,0,-0.81,0.03,0.06,-0.01,1.65,0,0,0,0,2.47,0.02,0.03,1,2,0.17,1.33,0,-0.19,0.02,1.47,-0.29,0,0.18,7.18,1.09,-0.96,35,0.96,1.14,0,0.01,0.5,-1,1.14,0,2,0,1.14,0.08,2.7,-0.9,0,0,-0.95,0,-0.12,0,271544.3,-0.91,0,-0.44,0,-0.33,0.09,2.7,0,0,0,0,0.41,-0.02,0,0.08,-0.2,0,0,0,5982.14,0,0,0,0.67,-0.19,-0.2,0,1.45,0,-0.13,-0.33,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9150,NON-FINANCIAL CORPORATION,UNSPECIFIED,Corp Bank,Transportation and Storage,UNSPECIFIED,4/29/2022,0,0,0,8229802.26,0,0,541.1,0,6.07E+07,0,1,1,0,0,0,0,70,0,0,0,0,0,0,10674.88,-1,0.1,0,0.09,0,0,0,0,0,0,0.12,0.1,0.54,-1,1,0,-1,0.03,0,0,-1,1.1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3841,NON-FINANCIAL CORPORATION,UNSPECIFIED,Corp Bank,Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles,UNSPECIFIED,4/29/2022,0,0,0,2.07E+07,0,0,3.65E+07,3.43E+07,7692307.69,0,1,1,0,0,0,0,90,0,0.18,0,14.12,13.67,1.61,1.4,1.4,-0.01,0.15,0.02,0.02,1,0.85,0.8,8.65,2,-0.01,0.08,0.43,1,0,0.11,0.13,-0.06,0.8,0,-0.54,-0.5,0.34,0.16,0,0,0,0,0,1.4,0.8,0,0,0,0.16,45.51,0,0.45,0.23,0,-0.06,0,22.59,45.51,0.67,-0.93,0,1,0,0,0.2,1.67,0,0,0,0,0,0,12.39,0,0.3,0,0,-0.42,1,0.3,0,0,30.61,0,0.15,0,0.5,-0.52,0,0,0,0,1,0.56,-0.23,0,0.71,-0.25,0,0,0,0,0,0,0,2.67,-0.32,2,0,1.26,0,0,-0.25,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5400,NON-FINANCIAL CORPORATION,UNSPECIFIED,Retail/BBG Commercial,Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles,Active,4/29/2022,0,0,0,180669.04,0,1,1636282.7,0,769230.77,0,1,0,0,0,0,0,2,0,0,0,0,0,18.63,592950.91,592950.91,0,0,1.98,1.98,0,0,3.67,0,0,0,0,1.98,3,1,0,0,0,3.67,0,-1,0,0,0,0,0,0,0,0,592950.91,3.67,1.83,0,0,0,0,0,3.21,0,0,-1,0,0,0,296474.96,0,4,3,-1,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,3079390,0,0,0,0,0,0,-1,0,0,0,0,1.5,1.83,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,47.09,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6105,FINANCIAL CORPORATION (NON-BANK),UNSPECIFIED,Banking Center,Financial and Insurance Activities,Active,4/29/2022,0,0,0,74915.18,0,0,7111.22,6312.5,1153846.23,0,1,0,0,0,21333.65,0,7,0,0,2,0,0,0.13,50.49,-1,0,0.61,0.18,0.18,0,0,0.13,0,-1,0,0,1,0,1,0.1,0,0.11,0.25,0,-1,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2733,FINANCIAL CORPORATION (NON-BANK),UNSPECIFIED,FOR RE-TAGGING,UNSPECIFIED,UNSPECIFIED,4/29/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8814,NON-FINANCIAL CORPORATION,UNSPECIFIED,Retail/BBG Commercial,Administrative and Support Service Activities,UNSPECIFIED,4/29/2022,0,0,0,9209481.33,0,1,1.55E+07,7102360.48,769230.77,0,1,1,250000,250000,9913255,0,72,-925292.99,0.07,20,-0.03,-0.03,1.36,10.01,1.12,-0.05,-0.25,-0.05,-0.05,2,-0.22,1.06,-0.06,2,-0.07,0.03,0.04,1,2,0.12,-0.25,-0.12,1.06,0,-0.34,-0.47,-0.02,0.08,136.19,0,0,2,0,-0.13,1.06,-0.24,0,0.67,0.12,0.17,0,0.14,-0.02,7.58,-0.34,0,-0.11,0.17,-0.23,-0.38,0,-0.08,0,0,-0.04,-0.33,-0.76,0,0,-0.2,-36080,0,-0.38,0,-0.33,0,0,-0.35,-0.38,0.6,0,0,-0.28,0,-0.11,0,-0.38,-0.11,0,0,0,0,-0.56,-0.16,-0.24,0,-0.33,-0.33,0,0,0,0,0,0,0,0.33,-0.64,-0.1,0,-0.42,0,0,-0.33,0,0,0,0,0,0,0,-0.18,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9910,NON-FINANCIAL CORPORATION,UNSPECIFIED,Corp Bank,Real Estate Activities,UNSPECIFIED,4/29/2022,0,0,0,1.88E+08,0,0,3.06E+07,557818.25,7692307.69,0,1,0,459622.71,6.92E+07,0,0,26,-449400,15,0,0.11,0.21,-0.12,76.59,76.59,0.04,0.78,0.16,0.12,0.27,0.76,-0.05,0.12,0.29,0.03,0.04,0.16,0.61,1,0.15,-0.12,0.09,0.6,0,-0.98,0.29,0.18,0.1,0,0,0,0,0,0.35,-0.07,0.11,0,0,0.06,-0.12,0,-0.07,0.09,0,-0.98,0,-0.23,1.15,-0.32,-0.34,13,0.07,-0.5,0,0.11,0.16,0,1,0,0,0,1,-0.55,-0.89,0.3,0,-357068,0.14,2.41,1.8,0,3454762,-0.42,0,-0.97,0,0.18,0.07,37.51,1141178.13,-357068,0,0.09,-0.03,0.01,0,0.05,0.41,0,0,0,0,0,0,0,0.81,-0.07,0.81,0,-0.98,0,-0.75,-0.06,0,0,1,0,0,0,0,1.47,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3975,SOLE PROPRIETORSHIP,UNSPECIFIED,Banking Center,Construction,UNSPECIFIED,4/29/2022,0,0,0,3573703.1,0,0,2088096.98,1764007.79,1192307.69,0,1,3,0,0,0,-2650000,155,-6153308.9,0.36,0,0.53,0.75,-0.15,6.47,2.28,0.17,-0.53,0.24,0.07,3,0.48,0.02,0.25,3,0.18,0.24,0.56,3,1,-0.14,-0.45,0.1,0.02,0,-0.81,4.01,0.06,0.13,477.92,0,0,0,0,0.61,0.02,0.01,0,4,0.08,2.63,0,-0.16,0.06,-0.16,0,0,1.33,2.63,0.31,-0.81,0,0.83,0,0,-0.07,0.06,-0.32,0,0,-0.2,0,-1,0.41,0,1.82,0,0,-0.72,0.2,0.4,0,1.03E+07,2.71,0,-0.26,0,0.2,0.37,-1,0,0,0,0.06,0.19,0.01,0,0.03,-0.38,0,0,0,0,3.89,-9825.08,0,0.61,-0.22,1,0.42,0.61,0,0,0,-1419.63,0,0,0,0,0,0,0.2,0,0,0,0,0,0.33,-0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8159,NON-FINANCIAL CORPORATION,UNSPECIFIED,Banking Center,Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles,Active,4/29/2022,5057727.21,1,1,2009236.67,0,1,3318920.69,1724461.99,576923.08,0,1,0,100000,1212277.49,3881.64,0,8,-1412948.07,-0.27,1,0,-0.02,0.88,-0.02,-0.03,0,-0.8,-0.09,-0.15,-1,-0.86,1.62,-0.23,-1,-0.16,0,0.02,1.5,1,0.02,-0.27,-0.24,1.62,0,-0.61,0,0,-0.02,30.55,0,0,9,0,-0.03,1.62,-0.16,0,1.67,0.26,-0.07,0,-0.28,0.19,30.55,-0.12,0.67,-0.07,-0.04,-0.07,-0.75,2,0.5,0,0,0.15,0.43,-0.77,-1,0,1.67,-216295.39,-1,0,0,-0.69,0,0,-0.84,0,-0.88,0,25678,-0.13,0,-0.83,0,1.56,0,-1,0,0,0,0.64,0.12,-0.55,0,0.29,0.44,0,0,0,0,0,0,0,0.67,-0.83,-0.31,0,-0.14,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8978,SOLE PROPRIETORSHIP,UNSPECIFIED,Retail/BBG Commercial,UNSPECIFIED,UNSPECIFIED,4/29/2022,0,0,0,1.41E+07,0,0,64938.88,0,0,0,1,0,0,0,52211.63,0,132,-677175.35,10.17,6,1.68,2.29,-0.01,77.09,26.65,0.09,-0.01,0.09,-0.01,0,0.7,0,-0.01,0,0.07,0.07,0.23,2,0,0,-0.5,0.04,0,0,-0.98,0.7,0.23,0.1,2.02,0,0,6,0,26.65,0,-0.02,1,4,0.63,0.55,0,0,0.3,0.24,-0.98,1,0.26,0.55,12.84,-0.37,3,2,-1,0,0.27,1.25,-0.09,1,0,4,-105663.1,1,0.22,-1,0.49,0,0,-0.26,2,-0.33,0,9336354.47,0.51,0,0.14,0,2,0.14,77.07,0,0,0,2,0.75,-0.02,0,0.79,0.29,0,0,0,0,0,0,0,1.25,-0.01,0.5,0,-0.33,0,-1,0.33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8047,NON-FINANCIAL CORPORATION,UNSPECIFIED,Banking Center,Financial and Insurance Activities,UNSPECIFIED,4/29/2022,0,0,0,1.39E+07,0,0,5.10E+07,7589687.89,769230.77,0,1,0,8.99E+07,1.02E+08,0,0,45,-5.19E+07,1550.97,0,0,0,45.76,7290.76,7290.76,0.57,14.2,5.75,5.75,1.67,32.52,75.17,0,1.67,0.77,6.92,5.75,3,1,14.8,0.67,1.14,75.17,0,-1,36.36,0,9.49,25.03,0,0,1,0,7290.76,-0.39,-0.06,0,2,0.67,-1,0,-0.39,0,-1,0.08,0,0,6.42,3645.42,-1,4,3,1,0,0,-1,-1,1,0,-1,-3900000,1,7.42,0.24,351.42,0,0,8.83,0.92,13309.94,0,21081.34,12.32,0,18.11,0,22,16.92,0.24,0,0,0,4.75,1.83,-0.06,0,0,3.6,0,0,0,0,0,0,0,9,-0.59,9,0,7849.04,0,0,-1,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6321,NON-FINANCIAL CORPORATION,UNSPECIFIED,Retail/BBG Commercial,Real Estate Activities,UNSPECIFIED,4/29/2022,2094115.2,1,1,4840569.85,0,2,481850.73,236928.58,1153846.15,0,1,0,0,0,0,0,255,-1285000,140.98,0,0,0,0.33,960.05,703.63,0.22,0.12,0.02,0.01,1,0.14,0.18,0,1,0.28,0.05,2.2,1,0,0.03,0,0.01,0.18,0,-1,0.55,0,0.02,0.04,0,0,1,0,1.2,0.13,0.01,1,0,0.35,77.12,0,0.13,0,-0.94,0,-1,38.16,77.12,0.6,-1,0,0.5,0,0,0,1,-0.94,0,0,0,-4693.73,0,2.53,0,0.39,0,0,0,2,1291.24,0,0,13.51,0,1.2,0,2,885.82,0,0,0,0,2,0.25,0,0,0.75,0,0,0,0,0,0,0,0,4.5,-0.16,2,0,1.2,0,0,0.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
